,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,Cascais,0,PT,1584864072,87,38.7,-9.42,11.67,3.1
58,Saskylakh,100,RU,1584864073,93,71.92,114.08,-15.73,3.03
59,Khunti,20,IN,1584863890,42,23.08,85.28,28.0,1.5
60,Tasiilaq,100,GL,1584864073,61,65.61,-37.64,-9.23,9.9
61,Butaritari,17,KI,1584864073,79,3.07,172.79,28.67,7.32
62,Bahía de Caráquez,20,EC,1584864073,88,-0.6,-80.42,25.0,1.0
63,Ust-Nera,90,RU,1584864074,92,64.57,143.2,-21.63,0.59
64,Lipin Bor,0,RU,1584864074,56,60.26,37.98,-2.53,2.55
65,Yellowknife,5,CA,1584864074,85,62.46,-114.35,-5.0,5.1
66,Kamoke,33,PK,1584864074,47,31.97,74.22,25.0,2.6
67,Tuktoyaktuk,100,CA,1584864075,90,69.45,-133.04,-8.63,0.96
68,Chokurdakh,0,RU,1584864075,77,70.63,147.92,-18.33,2.19
69,Comodoro Rivadavia,100,AR,1584864075,45,-45.87,-67.5,20.0,8.2
70,Mount Isa,0,AU,1584863908,26,-20.73,139.5,34.0,5.1
71,Arrondissement de Dreux,90,FR,1584864075,69,48.67,1.25,6.0,7.2
72,Laguna,1,US,1584864076,87,38.42,-121.42,11.11,0.92
73,Kiruna,100,SE,1584864076,73,67.86,20.23,-5.0,8.2
74,Rocha,0,UY,1584864076,66,-34.48,-54.33,16.37,2.96
75,Barra,100,BR,1584864076,88,-11.09,-43.14,22.87,2.95
76,Aswān,0,EG,1584863853,39,24.09,32.91,17.0,3.6
77,Itaocara,100,BR,1584864077,97,-21.67,-42.08,20.57,0.86
78,Albany,20,US,1584863970,38,42.6,-73.97,-3.33,5.1
79,Bozoum,99,CF,1584864077,60,6.32,16.38,26.07,4.59
80,Blackwater,0,AU,1584864077,58,-23.58,148.88,26.37,3.58
81,Castro,99,BR,1584864012,95,-24.79,-50.01,14.57,2.39
82,Mar del Plata,1,AR,1584864077,93,-38.0,-57.56,20.56,3.6
83,Keetmanshoop,0,NA,1584864078,54,-26.58,18.13,27.0,4.6
84,Kalemie,88,CD,1584864078,78,-5.95,29.19,24.57,1.46
85,Kudahuvadhoo,66,MV,1584864078,64,2.67,72.89,29.27,2.33
86,Severo-Kuril'sk,87,RU,1584864078,93,50.68,156.12,-4.63,5.2
87,Novopskov,100,UA,1584864078,95,49.55,39.09,3.47,6.33
88,Surgut,0,RU,1584863930,61,61.25,73.42,-11.0,6.0
89,Torbay,20,CA,1584863896,67,47.67,-52.73,-4.44,8.2
90,Donji Vakuf,100,BA,1584864079,83,44.14,17.4,1.47,3.09
91,Barrow,90,US,1584864079,76,71.29,-156.79,-20.0,6.2
92,Concarneau,75,FR,1584864079,75,47.88,-3.92,8.33,5.1
93,Codrington,0,AU,1584864080,67,-38.27,141.97,13.77,7.15
94,General Roca,94,AR,1584864080,41,-39.03,-67.58,16.0,1.0
95,Pochutla,0,MX,1584864080,78,15.74,-96.47,22.78,2.69
96,Salalah,75,OM,1584864080,83,17.02,54.09,28.0,5.7
97,Bredasdorp,90,ZA,1584864080,77,-34.53,20.04,23.33,1.0
98,Atuona,87,PF,1584864081,79,-9.8,-139.03,27.77,4.41
99,Poum,28,NC,1584864081,76,-20.23,164.02,26.57,8.73
100,Sabang,63,ID,1584864081,65,5.89,95.32,29.17,4.78
101,Port Elizabeth,75,ZA,1584864082,78,-33.92,25.57,23.0,1.5
102,Sémbé,100,CG,1584864082,80,1.65,14.58,22.37,1.43
103,Hualmay,100,PE,1584864082,79,-11.1,-77.61,20.27,1.13
104,Scranton,1,US,1584864013,49,41.41,-75.66,-1.0,3.1
105,Luanda,40,AO,1584863882,78,-8.84,13.23,27.0,3.1
106,Lorengau,100,PG,1584864083,64,-2.02,147.27,29.47,0.81
107,Coquimbo,0,CL,1584864083,82,-29.95,-71.34,14.0,2.1
108,Catia La Mar,4,VE,1584864083,84,10.6,-67.03,17.78,1.0
109,Isangel,12,VU,1584864083,81,-19.55,169.27,24.87,6.59
110,Panipat,0,IN,1584864083,24,29.39,76.97,31.07,5.23
111,Bambous Virieux,75,MU,1584864084,74,-20.34,57.76,28.89,5.1
112,Corowa,36,AU,1584864084,37,-36.03,146.38,22.0,8.7
113,Hokitika,99,NZ,1584864084,77,-42.72,170.97,15.47,6.68
114,Tanout,64,NE,1584864084,8,14.97,8.89,35.47,2.92
115,Fairbanks,90,US,1584864048,86,64.84,-147.72,0.0,6.7
116,Hong Kong,20,HK,1584864085,88,22.29,114.16,26.11,5.1
117,Ouahigouya,41,BF,1584864085,13,13.58,-2.42,32.67,5.36
118,Qādiān,0,IN,1584864085,53,31.82,75.39,25.0,1.0
119,Gornopravdinsk,62,RU,1584864085,76,60.05,69.9,-7.23,5.1
120,Vila do Maio,20,CV,1584864086,77,15.13,-23.22,21.0,8.2
121,Lebu,39,CL,1584864086,89,-37.62,-73.65,9.67,2.68
122,Paciran,100,ID,1584864086,65,-6.88,112.38,30.07,2.0
123,Bengkulu,95,ID,1584864086,79,-3.8,102.27,28.27,1.46
124,Kalengwa,100,ZM,1584864086,94,-13.47,25.0,20.17,2.86
125,Luganville,94,VU,1584864087,96,-15.53,167.17,23.07,0.96
126,Mirny,100,RU,1584864087,57,62.54,113.96,-7.0,4.0
127,Bestöbe,100,KZ,1584864087,80,52.5,73.1,-0.23,8.63
128,Qaanaaq,100,GL,1584864087,80,77.48,-69.36,-21.83,0.55
129,Portland,1,US,1584863891,75,45.52,-122.68,8.0,1.5
130,Nikolskoye,40,RU,1584864088,42,59.7,30.79,0.0,4.0
131,Zilupe,0,LV,1584864088,37,56.39,28.12,0.37,4.41
132,Noumea,17,NC,1584864073,69,-22.28,166.46,24.0,6.2
133,Praia,20,CV,1584864088,77,14.92,-23.51,21.0,8.2
134,Sept-Îles,5,CA,1584864088,49,50.2,-66.38,-17.22,3.6
135,Khatanga,100,RU,1584864089,89,71.97,102.5,-17.23,4.78
136,Provideniya,100,RU,1584864089,96,64.38,-173.3,-8.13,2.91
137,Villazón,66,BO,1584864089,89,-22.09,-65.59,8.07,1.43
138,Köping,0,SE,1584864089,79,59.51,15.99,2.22,1.5
139,Pevek,100,RU,1584864089,69,69.7,170.31,-18.93,3.31
140,Dikson,67,RU,1584864089,95,73.51,80.55,-24.73,3.25
141,Saint-Philippe,7,RE,1584864090,62,-21.36,55.77,30.0,9.8
142,Samarai,100,PG,1584864090,87,-10.62,150.67,26.37,2.31
143,Wattegama,20,LK,1584864090,47,6.8,81.48,35.0,2.1
144,Tiksi,0,RU,1584864090,83,71.69,128.87,-22.23,4.2
145,Ciudad Bolivar,100,VE,1584864091,72,8.12,-63.55,24.57,3.93
146,Leshukonskoye,22,RU,1584864091,85,64.9,45.76,-3.73,3.17
147,Omboué,59,GA,1584864091,65,-1.57,9.26,30.97,1.36
148,Souillac,75,MU,1584864063,74,-20.52,57.52,28.89,5.1
149,Mehrabpur,100,PK,1584864092,19,28.11,68.03,34.67,5.01
150,East London,20,ZA,1584864092,78,-33.02,27.91,24.0,4.1
151,Keti Bandar,24,PK,1584864092,62,24.14,67.45,27.97,6.62
152,Kirakira,99,SB,1584864092,86,-10.45,161.92,26.27,3.93
153,Thompson,90,CA,1584864092,48,55.74,-97.86,-8.0,4.6
154,Lagoa,62,PT,1584864093,66,39.05,-27.98,12.67,5.07
155,Cherskiy,100,RU,1584864093,67,68.75,161.3,-16.63,1.69
156,Kapaa,90,US,1584864093,83,22.08,-159.32,24.0,6.7
157,Gijang,20,KR,1584864093,48,35.24,129.21,17.0,7.2
158,São Filipe,4,CV,1584864093,80,14.9,-24.5,20.57,8.04
159,Ribeira Grande,40,PT,1584864094,66,38.52,-28.7,11.0,5.1
160,Bolitoc,6,PH,1584864094,69,15.74,119.88,27.17,3.37
161,Saint Paul Harbor,1,US,1584864094,47,57.79,-152.41,3.0,11.8
162,Pacific Grove,90,US,1584864094,93,36.62,-121.92,12.0,2.6
163,Ampanihy,0,MG,1584864095,37,-24.7,44.75,34.47,0.69
164,Uttaradit,20,TH,1584864095,25,17.67,100.5,41.67,3.1
165,Jinchang,47,CN,1584864095,23,38.5,102.17,11.77,2.39
166,Narsaq,100,GL,1584864095,36,60.92,-46.05,-2.0,17.0
167,Hammerfest,100,NO,1584864095,69,70.66,23.68,3.0,11.8
168,Nouadhibou,97,MR,1584864096,67,20.93,-17.03,15.0,9.8
169,Saint-Joseph,0,RE,1584864096,62,-21.37,55.62,30.0,9.8
170,Petropavlovsk-Kamchatskiy,40,RU,1584864096,80,53.05,158.65,1.0,5.0
171,Beyneu,78,KZ,1584864096,35,45.32,55.2,10.77,4.99
172,Kattivākkam,40,IN,1584864096,55,13.22,80.32,33.0,7.2
173,Enshi,100,CN,1584864097,72,30.3,109.48,15.67,0.73
174,Lata,20,PT,1584864097,100,40.16,-8.33,11.11,2.1
175,Āgaro,99,ET,1584863950,29,7.85,36.65,28.87,1.65
176,La Ronge,75,CA,1584864097,73,55.1,-105.28,-3.0,3.6
177,Te Anau,100,NZ,1584864098,77,-45.42,167.72,9.37,3.54
178,Atar,51,MR,1584864098,35,20.52,-13.05,17.97,5.75
179,Banikoara,100,BJ,1584864098,34,11.3,2.44,35.17,4.72
180,Harper,100,LR,1584863987,75,4.38,-7.72,28.97,1.03
181,Airai,46,TL,1584864098,86,-8.93,125.41,22.17,1.6
182,Guerrero Negro,87,MX,1584864099,76,27.98,-114.06,14.57,5.01
183,Altay,95,CN,1584864099,85,47.87,88.12,0.67,0.96
184,Santa Isabel Rio Negro,2,BR,1584864099,94,-0.41,-65.02,22.77,0.85
185,Palu,100,ID,1584864099,78,-0.89,119.87,25.17,1.02
186,Dwārka,0,IN,1584864100,84,22.24,68.97,24.47,5.06
187,Mandalī,20,IQ,1584864100,41,33.75,45.55,16.97,3.18
188,Casma,90,CL,1584864100,67,-41.01,-73.12,15.0,7.7
189,Baturaja,95,ID,1584864100,62,-4.13,104.17,31.57,0.78
190,Eyl,0,SO,1584864101,80,7.98,49.82,27.97,4.5
191,Geraldton,75,AU,1584864101,23,-28.77,114.6,37.0,9.3
192,Hohhot,0,CN,1584864037,16,40.81,111.65,15.0,4.0
193,Brønnøysund,100,NO,1584864102,51,65.46,12.2,4.0,7.7
194,Hwange,27,ZW,1584864102,55,-18.37,26.5,27.27,3.36
195,Hartland,1,US,1584864102,92,43.1,-88.34,-2.0,2.46
196,San Patricio,9,MX,1584864102,79,19.22,-104.7,24.07,1.15
197,Todos Santos,20,MX,1584864103,82,23.45,-110.22,16.11,1.0
198,Blagoyevo,91,RU,1584864103,88,63.37,47.92,-3.93,2.75
199,Mt. Pleasant,64,US,1584863898,100,32.79,-79.86,18.89,2.07
200,Beloha,0,MG,1584864103,38,-25.17,45.05,33.57,3.28
201,Melita,73,CA,1584864103,93,49.27,-101.0,-13.03,1.5
202,George Town,20,MY,1584863860,59,5.41,100.34,32.0,5.1
203,Monastyrshchina,0,RU,1584864104,35,54.35,31.84,-0.33,7.98
204,Sawākin,40,SD,1584864104,64,19.11,37.33,24.0,5.1
205,Oxbow,75,CA,1584864104,92,49.23,-102.17,-8.0,2.6
206,Centralia,1,US,1584864104,100,46.72,-122.95,6.11,0.19
207,Touros,20,BR,1584864105,94,-5.2,-35.46,24.0,1.0
208,Kaeo,2,NZ,1584864105,88,-35.1,173.78,20.0,2.24
209,Gambēla,78,ET,1584864105,21,8.25,34.58,40.57,1.2
210,Berlevåg,97,NO,1584864105,72,70.86,29.09,2.67,12.73
211,Marsh Harbour,0,BS,1584864003,80,26.54,-77.06,22.47,5.87
212,Saint George,0,US,1584864029,57,37.1,-113.58,9.44,0.47
213,Klaksvík,100,FO,1584864106,64,62.23,-6.59,4.0,5.1
214,Chumphon,75,TH,1584864106,52,10.33,98.83,34.0,4.6
215,Kungurtug,2,RU,1584864106,57,50.6,97.52,6.27,0.89
216,New Norfolk,40,AU,1584864107,44,-42.78,147.06,14.0,6.7
217,Sarakhs,90,IR,1584864107,93,36.54,61.16,12.0,6.2
218,Tevaitoa,42,PF,1584864107,68,-16.78,-151.5,28.77,1.78
219,Kimbe,100,PG,1584864107,90,-5.55,150.14,25.37,0.43
220,Vestmanna,100,FO,1584864107,64,62.16,-7.17,4.0,5.1
221,Mfou,20,CM,1584864107,94,3.72,11.64,23.0,1.0
222,Tampere,0,FI,1584863949,54,61.5,23.79,-2.0,3.1
223,Myaundzha,100,RU,1584864108,74,63.05,147.19,-13.33,0.61
224,Srednekolymsk,100,RU,1584864108,81,67.45,153.68,-16.03,4.57
225,Härnösand,0,SE,1584864108,73,62.63,17.94,0.56,8.73
226,Krasnosel'kup,85,RU,1584864108,91,65.7,82.47,-17.63,6.11
227,Salta,75,AR,1584864109,93,-24.79,-65.41,20.0,1.5
228,Hasaki,75,JP,1584864107,40,35.73,140.83,21.0,4.6
229,Pozo Colorado,0,PY,1584864109,57,-23.49,-58.8,16.97,1.74
230,Kaitangata,100,NZ,1584864109,65,-46.28,169.85,12.22,0.89
231,Oruzgan,99,AF,1584864109,25,32.83,66.0,14.97,2.72
232,Longyearbyen,75,SJ,1584863897,85,78.22,15.64,-6.0,8.2
233,Valparaíso,24,CL,1584863990,87,-33.04,-71.63,13.0,1.56
234,Kaka,100,TM,1584864110,82,37.35,59.61,12.27,5.66
235,Pedregulho,77,BR,1584864110,94,-20.26,-47.48,17.97,1.42
236,Tongzi,30,CN,1584864110,29,28.78,105.09,27.47,3.6
237,Den Helder,0,NL,1584864111,69,52.96,4.76,4.44,7.7
238,Kisangani,75,CD,1584864111,94,0.52,25.2,23.0,3.1
239,Vila Franca do Campo,75,PT,1584864111,76,37.72,-25.43,13.0,5.1
240,Sexsmith,40,CA,1584864111,73,55.35,-118.79,-2.22,2.03
241,Vao,9,NC,1584864111,77,-22.67,167.48,25.57,8.02
242,Grand-Lahou,100,CI,1584864112,80,5.14,-5.02,28.77,5.32
243,Husavik,75,IS,1584863913,71,66.04,-17.34,0.0,14.4
244,Kota Kinabalu,20,MY,1584864112,74,5.97,116.07,31.0,3.6
245,Morondava,0,MG,1584864112,45,-20.28,44.28,34.17,2.35
246,Tombouctou,53,ML,1584864112,16,20.0,-3.0,24.87,3.8
247,Maroantsetra,38,MG,1584864113,71,-15.43,49.73,25.67,2.96
248,Bandrele,32,YT,1584864113,62,-12.91,45.19,32.0,4.1
249,Mount Gambier,40,AU,1584864113,51,-37.83,140.77,16.0,6.2
250,Obihiro,75,JP,1584864114,45,42.92,143.2,7.0,4.1
251,Ancud,90,CL,1584864114,93,-41.87,-73.82,12.0,5.1
252,Ponta do Sol,40,PT,1584864114,62,32.67,-17.1,15.0,7.7
253,Talcahuano,58,CL,1584864115,87,-36.72,-73.12,14.0,3.1
254,Jati,49,PK,1584864115,20,24.35,68.27,37.27,5.95
255,Praia,20,CV,1584864115,77,14.92,-23.51,21.0,8.2
256,Teberda,60,RU,1584864115,94,43.45,41.74,-0.73,2.99
257,Sobolevo,0,RU,1584864115,35,54.43,31.9,-0.33,7.98
258,Sipe Sipe,100,BO,1584864115,87,-17.45,-66.38,9.07,0.63
259,Kerema,100,PG,1584864116,83,-7.96,145.78,26.47,0.91
260,Iralaya,0,HN,1584864116,74,15.0,-83.23,26.67,5.62
261,Arkadelphia,75,US,1584864116,70,34.12,-93.05,8.89,2.1
262,Bonavista,0,CA,1584864023,74,48.65,-53.11,-5.0,6.71
263,Avera,1,US,1584864116,82,33.19,-82.53,18.0,2.1
264,Pangody,87,RU,1584864117,93,65.85,74.49,-15.63,4.72
265,Alofi,96,NU,1584864117,94,-19.06,-169.92,25.0,0.5
266,Luau,100,AO,1584864117,83,-10.71,22.22,23.07,1.56
267,Issia,80,CI,1584864117,80,6.49,-6.59,27.27,1.51
268,Saint-Leu,71,RE,1584864016,62,-21.15,55.28,30.0,9.8
269,Buraidah,0,SA,1584864118,47,26.33,43.98,15.0,9.3
270,Chālūs,75,IR,1584864118,81,36.66,51.42,11.0,2.1
271,College,90,US,1584864118,86,64.86,-147.8,0.0,6.7
272,Lucapa,100,AO,1584864119,87,-8.42,20.74,24.57,1.04
273,Kangaatsiaq,100,GL,1584864119,78,68.31,-53.46,-9.43,10.87
274,Gaomi,0,CN,1584864119,22,36.38,119.75,19.0,4.0
275,Margate,20,GB,1584864119,80,51.38,1.39,7.22,4.6
276,Islāmpur,68,IN,1584864119,28,26.27,88.2,30.37,2.63
277,San Juan,0,AR,1584864119,50,-31.54,-68.54,20.87,0.62
278,Buala,95,SB,1584864120,80,-8.14,159.59,27.67,2.87
279,Kurchum,100,KZ,1584864120,93,48.57,83.65,2.17,1.82
280,Pauini,94,BR,1584864120,98,-7.71,-66.98,22.17,1.07
281,Ferkessédougou,54,CI,1584864120,53,9.6,-5.2,29.57,2.68
282,Hammond,1,US,1584864120,74,41.58,-87.5,-1.67,2.6
283,Chicama,93,PE,1584864121,67,-7.84,-79.15,22.77,1.25
284,São Félix do Xingu,87,BR,1584864121,97,-6.64,-51.99,20.17,0.82
285,Riyadh,0,SA,1584863963,26,24.69,46.72,21.0,5.1
286,Soyo,20,AO,1584864121,94,-6.13,12.37,26.0,1.0
287,Taber,1,CA,1584864121,79,49.82,-112.15,-3.0,1.5
288,Ilulissat,0,GL,1584864122,54,69.22,-51.1,-15.0,4.6
289,Honghu,94,CN,1584864122,66,29.82,113.46,23.07,3.9
290,Llaillay,0,CL,1584864122,87,-32.85,-70.97,13.0,0.89
291,Asău,90,RO,1584864122,100,46.43,26.4,2.78,5.1
292,Richards Bay,67,ZA,1584864123,74,-28.78,32.04,26.47,6.07
293,Fortuna,90,US,1584864123,93,40.6,-124.16,10.0,1.36
294,Sur,100,OM,1584864123,45,22.57,59.53,29.87,5.09
295,Petrolina de Goiás,40,BR,1584864123,88,-16.09,-49.34,22.0,1.5
296,Belyy Yar,66,RU,1584864123,28,53.6,91.39,14.0,5.0
297,Kvitok,95,RU,1584864123,78,56.07,98.48,7.37,2.1
298,Solano,1,US,1584864124,81,38.23,-121.95,12.0,2.1
299,Pemangkat,60,ID,1584864124,81,1.17,108.97,28.47,4.47
300,Bosaso,5,SO,1584864124,52,11.28,49.18,34.0,10.8
301,Mocuba,81,MZ,1584864124,61,-16.84,36.99,29.17,1.44
302,Mezen',33,RU,1584864124,84,65.85,44.24,-3.03,5.45
303,Griffith,1,US,1584864125,79,41.53,-87.42,-1.0,2.6
304,Lyuban',100,BY,1584864125,46,52.8,28.0,0.67,8.25
305,Lincoln,1,US,1584863886,74,40.8,-96.67,3.33,3.6
306,Huambo,75,AO,1584864125,100,-12.78,15.74,18.0,1.28
307,Port Hardy,75,CA,1584864126,84,50.7,-127.42,1.0,2.1
308,Deputatsky,92,RU,1584864126,99,69.3,139.9,-21.33,0.79
309,Egvekinot,100,RU,1584864126,97,66.32,-179.17,-16.13,1.29
310,Isla Mujeres,5,MX,1584864127,78,21.23,-86.73,25.0,2.6
311,Raudeberg,100,NO,1584864127,65,61.99,5.14,5.0,12.9
312,Scarborough,93,GB,1584864127,73,54.28,-0.4,6.11,2.1
313,Vardø,68,NO,1584864127,69,70.37,31.11,1.87,12.14
314,Vila Velha,75,BR,1584864127,83,-20.33,-40.29,25.0,4.1
315,Ocara,100,BR,1584864127,96,-4.49,-38.6,22.27,1.11
316,Kruisfontein,0,ZA,1584864128,56,-34.0,24.73,24.97,1.11
317,Arrondissement de Saint-Gaudens,58,FR,1584864128,71,43.08,0.67,12.0,2.6
318,Esim,1,GH,1584864128,71,4.87,-2.24,29.87,2.09
319,Knyaze-Volkonskoye,96,RU,1584864128,35,48.46,135.46,4.0,3.0
320,Guarda,66,PT,1584864129,91,40.54,-7.27,7.22,1.99
321,Bandarbeyla,0,SO,1584864129,78,9.49,50.81,28.37,4.58
322,Aklavik,90,CA,1584864129,92,68.22,-135.01,-4.0,0.3
323,Vega de Alatorre,24,MX,1584864129,86,20.03,-96.63,22.97,2.3
324,Skjervøy,100,NO,1584864130,67,70.03,20.97,2.17,7.64
325,Teya,100,RU,1584864130,98,60.38,92.63,0.47,3.15
326,Constitución,0,CL,1584864130,90,-35.33,-72.42,10.27,3.45
327,Kavaratti,20,IN,1584864130,66,10.57,72.64,30.0,2.1
328,Gushikawa,90,JP,1584864130,83,26.35,127.87,25.0,8.7
329,Neiafu,88,TO,1584864131,68,-18.65,-173.98,28.17,2.48
330,Guangming,100,CN,1584864131,42,45.33,122.78,6.97,3.6
331,The Valley,40,AI,1584864131,78,18.22,-63.06,25.0,6.7
332,Vanavara,100,RU,1584864066,99,60.34,102.28,0.57,3.65
333,Yar-Sale,0,RU,1584864131,88,66.83,70.83,-16.93,3.97
334,Adelaide,20,AU,1584863957,42,-34.93,138.6,21.67,7.7
335,Ostrovnoy,61,RU,1584864132,91,68.05,39.51,-3.53,6.54
336,Zambezi,98,ZM,1584864132,82,-13.54,23.1,23.07,3.38
337,Coari,70,BR,1584864014,95,-4.08,-63.14,22.57,1.04
338,Mareeba,75,AU,1584864132,78,-17.0,145.43,27.0,6.2
339,Belaya Gora,13,RU,1584864132,89,68.53,146.42,-17.43,0.85
340,Arraial do Cabo,85,BR,1584864133,72,-22.97,-42.03,24.97,3.87
341,Port Lincoln,100,AU,1584864133,67,-34.73,135.87,17.17,6.83
342,Iqaluit,75,CA,1584864133,70,63.75,-68.51,-18.89,3.6
343,Biak,3,ID,1584864133,74,-0.91,122.88,28.07,2.98
344,Ust-Tsilma,94,RU,1584864134,89,65.44,52.15,-3.93,3.71
345,Dingle,82,PH,1584864134,61,11.0,122.67,29.47,5.35
346,Chancay,85,PE,1584864134,83,-11.57,-77.27,23.0,2.6
347,Karratha,33,AU,1584864134,77,-20.74,116.85,29.97,6.64
348,Kathmandu,40,NP,1584863882,46,27.72,85.32,21.0,3.1
349,Katsuura,75,JP,1584864135,52,35.13,140.3,20.56,10.3
350,Coyhaique,90,CL,1584864135,87,-45.58,-72.07,13.0,1.5
351,Port Augusta,74,AU,1584864115,60,-32.5,137.77,25.0,10.8
352,Aksu,100,CN,1584864135,16,41.12,80.26,19.27,1.86
353,Dinslaken,0,DE,1584864135,59,51.57,6.73,4.44,4.1
354,Rafaela,0,AR,1584864136,61,-31.25,-61.49,17.78,0.89
355,Muros,75,ES,1584864136,100,42.78,-9.06,14.44,2.1
356,Ţahţā,0,EG,1584864136,38,26.77,31.5,16.0,1.0
357,Severo-Yeniseyskiy,100,RU,1584864025,99,60.37,93.04,0.37,3.18
358,Shimoda,75,JP,1584864137,77,34.67,138.95,18.89,10.3
359,Bathsheba,40,BB,1584864137,74,13.22,-59.52,26.0,7.7
360,Vestmannaeyjar,100,IS,1584864137,95,63.44,-20.27,3.17,13.72
361,Yaan,33,NG,1584864137,53,7.38,8.57,32.87,3.72
362,Nome,1,US,1584864137,72,64.5,-165.41,-12.0,4.1
363,Oodweyne,100,SO,1584864138,57,9.41,45.06,25.27,3.06
364,Rawson,32,AR,1584863943,54,-43.3,-65.1,18.67,4.46
365,Kachīry,100,KZ,1584864138,86,53.07,76.1,-2.33,10.79
366,Mildura,4,AU,1584863761,27,-34.2,142.15,24.0,5.1
367,Tucuruí,100,BR,1584863911,92,-3.77,-49.67,21.57,1.03
368,Bucerías,5,MX,1584864139,88,20.75,-105.33,21.0,2.6
369,Essau,0,GM,1584864139,53,13.48,-16.53,23.0,4.1
370,Nemuro,75,JP,1584864139,56,43.32,145.57,5.0,4.1
